"id","name"
1,"BMW"
2,"FORD"
3,"NISSAN"
4,"PONTIAC"
5,"CHEVROLET"
6,"LEXUS"
7,"HONDA"
8,"PLYMOUTH"
9,"BUICK"
10,"DODGE"
11,"TOYOTA"
12,"JEEP"
13,"VOLKSWAGEN"
14,"UNLISTED"
15,"MAZDA"
16,"FREGHTLINER"
17,"AUDI"
18,"HYUNDAI"
19,"ISUZU"
20,"GMC"
21,"VOLVO"
22,"MERCEDES"
23,"SATURN"
24,"MITSUBISHI"
25,"SUBARU"
26,"SUZUKI"
27,"INTERNATIONAL"
28,"LINCOLN"
29,"PORSCHE"
30,"OLDSMOBILE"
31,"MINI"
32,"ACURA"
33,"MERCURY"
34,"KIA"
35,"JAGUAR"
36,"INFINITI"
37,"SAAB"
38,"LAND ROVER"
39,"RENAULT"
40,"CHRYSLER"
41,"KENWORTH"
42,"UNMARKED"
43,"HINO"
44,"CADILLAC"
45,"EAGLE"
46,"GEO"
47,"HUMMER"
48,"ASUNA"
49,"DATSUN"
50,"KAWASAKI"
51,"PEUGEOT"
52,"UTILITY"
53,"GRUMMAN"
54,"ALFA ROMEO"
55,"RANGE ROVER"
56,"ROLLS ROYCE"
57,"DAEWOO"
58,"ASTON MARTIN"
59,"AMERICAN MOTORS"
60,"MERKUR"
61,"BLUE BIRD"
62,"MACK"
63,"AUSTIN"
64,"BENTLEY"
65,"HUDSON"
66,"MG"
67,"FRUEHAUF"
68,"PETERBILT"
69,"YAMAHA"
70,"FIAT"
71,"LADA"
72,"DUCATI"
73,"PREVOST"
74,"FERRARI"
75,"TATRA"
76,"CITROEN"
77,"DIAHATSU"
78,"MASERATI"
79,"TRAILERENT"
80,"TRIUMPH"
81,"LOTUS"
82,"NASH"
83,"HARLEY DAVIDSON"
84,"SEAT"
85,"NORTON"
86,"MOTO GUZZI"
87,"BUELL"
88,"TRAILMOBILE"
89,"STUDABAKER"
90,"BSA"
91,"HOLDEN"
92,"McLAREN"
93,"MORRIS"
94,"SUNBEAM"
95,"PASSPORT"
96,"SKODA"
97,"OPEL"
98,"LAMBORGHINI"
99,"UBUILT"
100,"LANCIA"
101,"YUGO"
102,"BUGATTI"
103,"MORGAN"
104,"CATERHAM"
105,"EDSEL"
106,"JENSEN"
107,"KNIGHT"
108,"BULTACO"
109,"ZIMMER"
110,"PACKARD"
111,"CPI"
112,"BOMBARDIER"
113,"BRICKLIN"
114,"SMART CAR"
115,"DELOREAN"
